ID,Name,Area,Computed_Coordinates,Coordinate_Source,Section,Township,Range,Legal_Description,Status,Notes
11,Unnamed perovskite locality east of the magnetite quarry,Magnet Cove,,Descriptive location only,,,,"~1000 ft east of the magnetite quarry, north side of Highway 270",NEVER DRILLED - QUANTITY UNKNOWN,Report states the quantity of perovskite-bearing rock in these localities is not known; paired with the Mo-Ti locality as the only two perovskite-in-silicate-rock occurrences
12,Wilson prospect,"Potash Sulphur Springs (Garland Co, ~6 mi west)",,Descriptive location only,,,,Hillside east of the hot springs above the Wilson residence,MINIMALLY EXPLORED - FLAGGED FOR MORE WORK,Confirmed niobium AND uranium in a radioactive boulder (analyzed Dec 1950); only bulldozer trenches plus a single ~75-ft churn-drill hole; report concludes further work should include diamond drilling
13,Brookite mineralization along Highway 270 at Magnet,Magnet Cove,,Descriptive location only,,,,Center of Magnet village at the Y in Highway 270,SOURCE AREA - NOT A DISCRETE CLAIM,Source of the majority of described brookite specimens from Magnet Cove; quartz veins to 1 in thick with vugs of imperfect quartz and brookite crystals to 5mm; extends ~200 ft up the hill south of the highway
14,Rutherford Brookite Prospect,Magnet Cove,,Descriptive location only,,,,Hill ~400 ft SE of Magnet community,UNTESTED - SURFACE FLOAT ONLY,Elliptical float area 500 ft across centered on a house; smoky quartz in place near the SW corner of the house; compared to the Christy float pattern but smaller; no test pits or drilling ever done
15,Richardson Rutile Prospect,Magnet Cove,"34.48863, -92.86460",PLSS quarter center (approx +/-0.5 mi),17,3S,17W,NW4 Sec 17 T.3S. R.17W.,UNTESTED - VEINS NEVER FOLLOWED UP,Several separated rutile-feldspar veins exposed only along a farm road; plowed field said to be the source of many fine rutile specimens; also an abandoned Civil War-era pyrite shaft with rutile vein material on its dump
16,York Rutile Prospect,Magnet Cove,"34.47051, -92.85984",PLSS section center (approx +/-0.5 mi),20,3S,17W,Near center Sec 20 T.3S. R.17W.,UNTESTED - NO RUTILE FOUND IN PLACE,Residual rutile aggregates to 1 in common in soil through a farmyard and plowed field; source vein never located; nepheline garnet syenite in the ridge just east is the suspected source
17,Brookite prospects Section 7 - trenched,Magnet Cove,"34.49950, -92.87798",PLSS section center (approx +/-0.5 mi),7,3S,17W,Southern part Sec 7 T.3S. R.17W.,PARTIALLY TESTED - OLD CAVED TRENCHES,Four now-caved trenches along a low hill's north slope exposed brookite-bearing feldspar veins in metamorphosed Stanley shale
18,Brookite prospects Section 7 - untested,Magnet Cove,"34.49950, -92.87798",PLSS section center (approx +/-0.5 mi),7,3S,17W,SW quarter Sec 7 T.3S. R.17W.,COMPLETELY UNTESTED,Brookite-quartz float over a 20x200 ft area on a ravine slope; report states so far as is known no exploration has been undertaken at this locality
19,Nichols and Campbell Rutile Prospect,Magnet Cove,"34.47957, -92.88413",PLSS quarter center (approx +/-0.5 mi),18,3S,17W,SW4 SW4 Sec 18 T.3S. R.17W.,SMALL HISTORIC PRODUCTION - TRENCHES OPEN,Produced a small amount of rutile historically; a ~700-ft trench plus gullies still expose rutile-bearing material in the dump; deepest SE end shows rutile masses to 1.5 in
20,Rutile veins in Section 24,Magnet Cove,"34.47414, -92.89058",PLSS quarter center (approx +/-0.5 mi),24,3S,18W,NE4 Sec 24 T.3S. R.18W.,MINOR - LOW GRADE,Feldspar-carbonate veins with fine-grained rutile in a road cut near the Jones Mill aluminum plant road; quantity negligible but demonstrates how widespread the mineralization is
21,McKnight Placer Rutile Deposit,~3 mi south of Magnet Cove,"34.42341, -92.86322",PLSS quarter center (approx +/-0.5 mi),5,4S,17W,S2 SW4 Sec 5 T.4S. R.17W.,ABANDONED PLACER PIT,Believed sourced from erosion of the main Cove deposits; rutile pebbles to 1 in in a clayey gravel mantle 10-20 ft thick; H.R. McKnight's open pit plus shallow test pits abandoned
